moviename,theater,numberofkids,other,starttime,date,mpaa_rating,theater_chain,actress,zip,state,distanceconstraints,city,genre,video_format,critic_rating,actor,price,
zootopia,manville 12 plex,,,10:30am,tomorrow,,,,08835,nj,,hamilton,comedy,,good,,,
zootopia,manville 12 plex,,,10:30am,tomorrow,,,,08835,nj,,manville,comedy,,good,,,
zootopia,manville 12 plex,,,10:30am,tomorrow,,,,08835,nj,,bridgewater,comedy,,good,,,
zootopia,amc dine-in theatres bridgewater 7,,,10:30am,tomorrow,,,,08835,nj,,hamilton,comedy,,good,,,
zootopia,amc dine-in theatres bridgewater 7,,,10:30am,tomorrow,,,,08835,nj,,manville,comedy,,good,,,
kung fu panda 3,every single theatre,,not available,,this weekend,pg,,,98004,washington,,seattle,,,,,,
kung fu panda 3,every single theatre,,not available,,this weekend,pg,,,98004,washington,,bellevue,,,,,,
kung fu panda 3,bellevue lincoln square cinemas,,not available,,this weekend,pg,,,98004,washington,,seattle,,,,,,
kung fu panda 3,bellevue lincoln square cinemas,,not available,,this weekend,pg,,,98004,washington,,bellevue,,,,,,
kung fu panda 3,regal meridian 16,,not available,,this weekend,pg,,,98004,washington,,seattle,,,,,,
zootopia,regal meridian 16,two,movie assistant number,6:30pm,tonight,,regal meridian,,98101,wa,,seattle,,,,,,
zootopia,regal meridian 16,two,movie assistant number,6:30pm,tonight,,regal meridian,,98101,wa,,bellevue,,,,,,
zootopia,bellevue lincoln square cinemas,two,movie assistant number,6:30pm,tonight,,regal meridian,,98101,wa,,seattle,,,,,,
zootopia,bellevue lincoln square cinemas,two,movie assistant number,6:30pm,tonight,,regal meridian,,98101,wa,,bellevue,,,,,,
zootopia,regal meridian,two,movie assistant number,6:30pm,tonight,,regal meridian,,98101,wa,,seattle,,,,,,
zootopia,carmike summit 16,,,around 2pm,today,,,,,al,,birmingham,,,,,,
zootopia,carmike summit,,,around 2pm,today,,,,,al,,birmingham,,,,,,
zootopia,carmike summit 16,,,1:30,today,,,,,al,,birmingham,,,,,,
zootopia,carmike summit,,,1:30,today,,,,,al,,birmingham,,,,,,
zootopia,carmike summit 16,,,4:00,today,,,,,al,,birmingham,,,,,,
How to be single,century centre 9,,,night,tomorrow,,,,,,,san francisco,,,,,,
How to be single,Redwood City 20,,,night,tomorrow,,,,,,,san francisco,,,,,,
How to be single,century centre 9,,,11:05am,tomorrow,,,,,,,san francisco,,,,,,
How to be single,Redwood City 20,,,11:05am,tomorrow,,,,,,,san francisco,,,,,,
How to be single,century centre 9,,,1:45pm,tomorrow,,,,,,,san francisco,,,,,,
london has fallen,many,,search theater,latest showing,tonight,,,,,,,seattle,,,,,,
london has fallen,regal meridian 16,,search theater,latest showing,tonight,,,,,,,seattle,,,,,,
whiskey tango foxtrot,many,,search theater,latest showing,tonight,,,,,,,seattle,,,,,,
whiskey tango foxtrot,regal meridian 16,,search theater,latest showing,tonight,,,,,,,seattle,,,,,,
zootopia,many,,search theater,latest showing,tonight,,,,,,,seattle,,,,,,
deadpool,amc pacific place 11,,,9:00 pm,tomorrow,,,,,,,seattle,,,,,,
deadpool,carmike summit 16,,,around 6pm,today,,,,,al,,birmingham,,,,,,
deadpool,carmike summit 16,,,7:20,today,,,,,al,,birmingham,,,,,,
zootopia,regal meridian 16,,,9:10 pm,tomorrow,,,,,,,seattle,,,,,,
hail caesar,regal meridian 16,,,8:45 pm,tomorrow,,,,,,,seattle,,,,,,
hail caesar,regal meridian 16,,,8:45,tomorrow,,,,,,,seattle,,,,,,
star wars,regal lloyd center 10,,,10 pm,friday,,,,,oregon,,portland,,,,,,
star wars,regal lloyd center 10,,,9:50 pm,friday,,,,,oregon,,portland,,,,,,
zootopia,carmike 16,,,around 3 pm,tomorrow,,,,,al,,birmingham,kid,3d,,,,
zootopia,carmike 16,,,around 3 pm,tomorrow,,,,,al,,birmingham,kid,standard,,,,
zootopia,carmike 16,,,12pm,tomorrow,,,,,al,,birmingham,kid,3d,,,,
zootopia,carmike 16,,,12pm,tomorrow,,,,,al,,birmingham,kid,standard,,,,
 kung fu panda 3,carmike 16,,,around 3 pm,tomorrow,,,,,al,,birmingham,kid,3d,,,,
room,amc pacific place 11 theater,,,9:30 pm,tomorrow,,,,,,,seattle,,,,,,
zootopia,river east 21,,cannot book,night,saturday,,amc,,,,,,,2d,,,,
zootopia,river east 21,,cannot book,night,saturday,,amc,,,,,,,3d,,,,
zootopia,river east 21,,cannot book,night,tomorrow,,amc,,,,,,,2d,,,,
zootopia,river east 21,,cannot book,night,tomorrow,,amc,,,,,,,3d,,,,
zootopia,river east 21,,cannot book,6pm,saturday,,amc,,,,,,,2d,,,,
the witch,regal meridian 16,,,9:30 pm,tomorrow,,,,,,,seattle,,,,,,
deadpool,emagine theater,,,10:05am#12:30pm#2:55pm#5:30pm#8:00pm#10:40pm,3/11,,,,48071,mi,closest,royal oak,,,,,,
deadpool,emagine theater,,,10:05am#12:30pm#2:55pm#5:30pm#8:00pm#10:40pm,3/11,,,,48071,mi,closest,Royal Oak,,,,,,
deadpool,emagine theater,,,10:05am#12:30pm#2:55pm#5:30pm#8:00pm#10:40pm,3/11,,,,48071,mi,closest,madison heights,,,,,,
deadpool,emagine,,,10:05am#12:30pm#2:55pm#5:30pm#8:00pm#10:40pm,3/11,,,,48071,mi,closest,royal oak,,,,,,
deadpool,emagine,,,10:05am#12:30pm#2:55pm#5:30pm#8:00pm#10:40pm,3/11,,,,48071,mi,closest,Royal Oak,,,,,,
independce day,,,servicing tickets,7pm,,,,,,,,detroit,,,,,,
zootopia#kung fu panda 3,any,,,around 7pm,now,rated pg,,,,iowa,,des moines,,,,,,
zootopia#kung fu panda 3,FLIX BREWHOUSE DES MOINES,,,around 7pm,now,rated pg,,,,iowa,,des moines,,,,,,
zootopia#kung fu panda 3,CARMIKE COBBLESTONE 9,,,around 7pm,now,rated pg,,,,iowa,,des moines,,,,,,
zootopia#kung fu panda 3,any,,,around 7pm,tomorrow,rated pg,,,,iowa,,des moines,,,,,,
zootopia#kung fu panda 3,FLIX BREWHOUSE DES MOINES,,,around 7pm,tomorrow,rated pg,,,,iowa,,des moines,,,,,,
